,Name,Image,Price,Link
134,Double Line Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/8697/product/2019-09-02_Statement_Rings-Product-Double_Ring_1-1.png?1566325913,215,mejuri.com/shop/products/double-line-ring
135,Triple Line Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9511/product/p52705107_TripleLineRing_YG_front.png?1574472757,295,mejuri.com/shop/products/triple-line-ring
136,Braided Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/10223/product/p52705463_BraidedGoldRing_YG_Revised.png?1576269981,150,mejuri.com/shop/products/braided-ring
137,Snake Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9143/product/p52705446_SnakeRing_YG_front.png?1580761671,280,mejuri.com/shop/products/snake-ring
138,Cigar Band,https://dto508s2j2p46.cloudfront.net/system/spree/products/7824/product/Cigar_Band.png?1559330151,280,mejuri.com/shop/products/cigar-band
139,Boyfriend Stacker,https://dto508s2j2p46.cloudfront.net/system/spree/products/9464/product/p52505544_BoyfriendStacker_V_front.png?1574458737,60,mejuri.com/shop/products/boyfriend-stacker-vermeil
140,Thin Dôme Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9955/product/thin-dome-ring-side-cc.png?1574698486,295,mejuri.com/shop/products/thin-dome-ring
141,Dôme Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/8344/product/dome-ring-side-cc.png?1560974306,60,mejuri.com/shop/products/dome-ring-vermeil
142,Thin Croissant Dôme Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/9936/product/Croissant_14k_Ring-Side.png?1574698517,315,mejuri.com/shop/products/thin-croissant-dome-ring
143,Croissant Dôme Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/8545/product/Croissant_Vermeil_Ring-Side.png?1563478323,65,mejuri.com/shop/products/croissant-dome-ring
144,Tarot Star Ring,https://dto508s2j2p46.cloudfront.net/system/spree/products/10401/product/p52705786_TarotStarRing_V_front.png?1579635880,50,mejuri.com/shop/products/tarot-star-ring
